القسم,نسبة د. مرسي,نسبة د. شفيق,عدد الناخبين,الاصوات الصحيحة,الاصوات الباطلة,نسبة المشاركة,د.أحمد شفيق,د.محمد مرسي
شبين الكوم,34.0,66.0,"135,193","86,708","3,074",66.4,"57,263","29,445"
سرس الليان,28.4,71.6,"37,864","24,601",662,66.7,"17,615","6,986"
منوف,15.8,84.2,"66,239","40,538","1,376",63.3,"34,127","6,411"
مركز شبين الكوم,27.0,73.0,"247,581","149,419","3,375",61.7,"109,006","40,413"
مركز اشمون,22.2,77.8,"406,784","244,049","5,825",61.4,"189,992","54,057"
مركز الباجور,26.6,73.4,"200,517","123,918","3,050",63.3,"90,989","32,929"
مركز الشهداء,33.8,66.2,"173,064","100,816","2,470",59.7,"66,710","34,106"
مركز بركه السبع,26.5,73.5,"163,592","99,237","2,318",62.1,"72,977","26,260"
مركز تلا,30.0,70.0,"209,899","112,432","3,277",55.1,"78,701","33,731"
مركز قويسنا,28.2,71.8,"251,560","161,735","4,034",65.9,"116,128","45,607"
مركز منوف,28.9,71.1,"225,132","130,998","3,294",59.7,"93,138","37,860"
مركز السادات,59.1,40.9,"87,397","48,814","1,194",57.2,"19,942","28,872"
